Name,Board,Channel,calib,r,theta,phi,NA (cm^2)
P12,7,12,104.2318115,0.262227541,-172.2166505,-117.2965166,95.94
P13,7,13,109.3852549,0.26,-162.2166505,-117,91.42
P14,7,14,-108.1081081,0.263444078,-151.9523921,-117.3208088,92.5
P15,7,15,107.9796998,0.26,-141.9523921,-117,92.61
P16,7,16,-105.7753332,0.263987542,-132.0103099,-117.2172262,94.54
P17,7,17,108.2251083,0.26,-122.0103099,-117,92.4
P18,7,18,105.4963604,0.264202795,-112.182111,-117.2726701,94.79
P19,7,19,105.2631579,0.264157841,-102.2880106,-117.3135097,95
P20,7,20,106.8718606,0.264874199,-92.2648863,-117.2690058,93.57
P21,7,21,-105.999576,0.26,-82.2648863,-117,94.34
P22,7,22,-108.4363479,0.265933662,-72.31080476,-117.1506555,92.22
P23,7,23,98.53187505,0.26,-62.31080476,-117,101.49
P24,7,24,107.8050884,0.265418369,-52.63286218,-117.0931905,92.76
P25,7,25,104.9317943,0.26,-42.63286218,-117,95.3
P26,7,26,104.427736,0.265058834,-32.6948735,-117.0701988,95.76
P27,7,27,-106.4169416,0.26,-22.6948735,-117,93.97
P28,7,28,108.5422772,0.26401863,-13.02234775,-117.0183651,92.13
P29,7,29,-106.5870817,0.264372403,-3.367905173,-117.2077768,93.82
P30,7,30,-108.7429317,0.264050192,7.254471631,-117.1044822,91.96
P31,7,31,-105.6077728,0.26,17.25447163,-117,94.69
P32,7,32,-108.3893345,0.262930337,27.74461951,-117.4358479,92.26
P33,7,33,-105.8425064,0.26,37.74461951,-117,94.48
P34,7,34,109.134563,0.262638281,46.85525735,-117.21337,91.63
P35,7,35,105.5297594,0.261524224,56.93822037,-117.2060937,94.76
P36,7,36,107.7121931,0.261484674,67.01552029,-117.2513614,92.84
P01,7,1,-107.1581655,0.260525694,76.99404795,-117.3224083,93.32
P02,7,2,-108.0497029,0.260078443,87.05615261,-117.3715472,92.55
P03,7,3,-108.1548778,0.259617309,97.26740917,-117.3795843,92.46
P04,7,4,108.1197968,0.259041126,107.4123086,-117.3653966,92.49
P05,7,5,109.5890411,0.26,117.4123086,-117,91.25
P06,7,6,107.4113856,0.259210663,127.6466626,-117.5312537,93.1
P07,7,7,-109.2537965,0.26,137.6466626,-117,91.53
P08,7,8,-107.5500108,0.260599064,147.8877801,-117.5313368,92.98
P09,7,9,-104.2644146,0.26,157.8877801,-117,95.91
P10,7,10,108.6366105,0.261422946,168.0697146,-117.3071911,92.05
P11,7,11,-104.9207848,0.262011333,177.8392898,-117.2934124,95.31
